primary_category,category_text,purpose,cluster_id,semantic_cluster,sleep,eatdrink,selfcare,paidwork,educatn,foodprep,cleanetc,maintain,shopserv,garden,petcare,eldcare,pkidcare,ikidcare,religion,volorgwk,commute,travel,sportex,tvradio,read,compint,goout,leisure,n_allowed_activities
religious_school,religious school,STUDIES,1,education,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,4
school,school,STUDIES,1,education,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,4
school_sports_league,school sports league,STUDIES,1,education,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,4
ski_and_snowboard_school,ski and snowboard school,STUDIES,1,education,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,4
specialty_school,specialty school,STUDIES,1,education,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,4
traffic_school,traffic school,STUDIES,1,education,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,4
tutoring_center,tutoring center,STUDIES,1,education,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,4
vocational_and_technical_school,vocational and technical school,STUDIES,1,education,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,4
afghan_restaurant,afghan restaurant,LEISURE,1,food_drink,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,6
african_restaurant,african restaurant,LEISURE,1,food_drink,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,6
amateur_sports_team,amateur sports team,LEISURE,1,food_drink,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,6
american_restaurant,american restaurant,LEISURE,1,food_drink,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,6
arabian_restaurant,arabian restaurant,LEISURE,1,food_drink,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,6
argentine_restaurant,argentine restaurant,LEISURE,1,food_drink,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,6
armenian_restaurant,armenian restaurant,LEISURE,1,food_drink,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,6
asian_fusion_restaurant,asian fusion restaurant,LEISURE,1,food_drink,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,6
asian_restaurant,asian restaurant,LEISURE,1,food_drink,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,6
australian_restaurant,australian restaurant,LEISURE,1,food_drink,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,6
bakery,bakery,PURCHASE,0,food_drink,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,6
bangladeshi_restaurant,bangladeshi restaurant,LEISURE,1,food_drink,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,6
bar,bar,LEISURE,1,food_drink,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,6
bar_and_grill_restaurant,bar and grill restaurant,LEISURE,1,food_drink,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,6
barbecue_restaurant,barbecue restaurant,LEISURE,1,food_drink,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,6
barber,barber,PURCHASE,0,food_drink,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,6
bartender,bartender,LEISURE,0,food_drink,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,6
bartending_school,bartending school,STUDIES,1,food_drink,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,6
basque_restaurant,basque restaurant,LEISURE,1,food_drink,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,6
beach_bar,beach bar,LEISURE,1,food_drink,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,6
beer_bar,beer bar,LEISURE,1,food_drink,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,6
belgian_restaurant,belgian restaurant,LEISURE,1,food_drink,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,6
bistro,bistro,LEISURE,0,food_drink,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,6
brazilian_restaurant,brazilian restaurant,LEISURE,1,food_drink,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,6
breakfast_and_brunch_restaurant,breakfast and brunch restaurant,LEISURE,1,food_drink,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,6
brewery,brewery,LEISURE,0,food_drink,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,6
british_restaurant,british restaurant,LEISURE,1,food_drink,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,6
bubble_tea,bubble tea,LEISURE,1,food_drink,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,6
buffet_restaurant,buffet restaurant,LEISURE,1,food_drink,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,6
bulgarian_restaurant,bulgarian restaurant,LEISURE,1,food_drink,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,6
burger_restaurant,burger restaurant,LEISURE,1,food_drink,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,6
burmese_restaurant,burmese restaurant,LEISURE,1,food_drink,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,6
cafe,cafe,LEISURE,1,food_drink,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,6
cafeteria,cafeteria,LEISURE,0,food_drink,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,6
cambodian_restaurant,cambodian restaurant,LEISURE,1,food_drink,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,6
canadian_restaurant,canadian restaurant,LEISURE,1,food_drink,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,6
caribbean_restaurant,caribbean restaurant,LEISURE,1,food_drink,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,6
champagne_bar,champagne bar,LEISURE,1,food_drink,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,6
chicken_restaurant,chicken restaurant,LEISURE,1,food_drink,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,6
chilean_restaurant,chilean restaurant,LEISURE,1,food_drink,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,6
chinese_restaurant,chinese restaurant,LEISURE,1,food_drink,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,6
cocktail_bar,cocktail bar,LEISURE,1,food_drink,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,6
coffee_and_tea_supplies,coffee and tea supplies,PURCHASE,1,food_drink,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,6
coffee_roastery,coffee roastery,OTHER,1,food_drink,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,6
coffee_shop,coffee shop,LEISURE,1,food_drink,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,6
colombian_restaurant,colombian restaurant,LEISURE,1,food_drink,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,6
comfort_food_restaurant,comfort food restaurant,LEISURE,1,food_drink,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,6
cuban_restaurant,cuban restaurant,LEISURE,1,food_drink,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,6
desserts,desserts,LEISURE,0,food_drink,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,6
dim_sum_restaurant,dim sum restaurant,LEISURE,1,food_drink,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,6
diner,diner,LEISURE,0,food_drink,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,6
dive_bar,dive bar,LEISURE,1,food_drink,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,6
eastern_european_restaurant,eastern european restaurant,LEISURE,1,food_drink,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,6
eat_and_drink,eat and drink,LEISURE,1,food_drink,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,6
ecuadorian_restaurant,ecuadorian restaurant,LEISURE,1,food_drink,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,6
egyptian_restaurant,egyptian restaurant,LEISURE,1,food_drink,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,6
esports_team,esports team,LEISURE,1,food_drink,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,6
ethiopian_restaurant,ethiopian restaurant,LEISURE,1,food_drink,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,6
european_restaurant,european restaurant,LEISURE,1,food_drink,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,6
falafel_restaurant,falafel restaurant,LEISURE,1,food_drink,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,6
fast_food_restaurant,fast food restaurant,LEISURE,1,food_drink,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,6
filipino_restaurant,filipino restaurant,LEISURE,1,food_drink,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,6
fish_and_chips_restaurant,fish and chips restaurant,LEISURE,1,food_drink,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,6
fondue_restaurant,fondue restaurant,LEISURE,1,food_drink,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,6
food,food,LEISURE,1,food_drink,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,6
food_banks,food banks,OTHER,1,food_drink,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,6
food_beverage_service_distribution,food beverage service distribution,WORK,1,food_drink,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,6
food_consultant,food consultant,WORK,1,food_drink,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,6
food_court,food court,LEISURE,1,food_drink,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,6
food_delivery_service,food delivery service,PURCHASE,1,food_drink,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,6
