primary_category,purpose,category_text,source,gparis_poi_tessellation,local_observed_count,cluster_id,semantic_cluster
greek_restaurant,LEISURE,greek restaurant,citybehavex/category/unique_categories.csv,117,117,1,food_drink
haitian_restaurant,LEISURE,haitian restaurant,citybehavex/category/unique_categories.csv,13,13,1,food_drink
halal_restaurant,LEISURE,halal restaurant,citybehavex/category/unique_categories.csv,157,157,1,food_drink
hawaiian_restaurant,LEISURE,hawaiian restaurant,citybehavex/category/unique_categories.csv,28,28,1,food_drink
health_food_restaurant,LEISURE,health food restaurant,citybehavex/category/unique_categories.csv,30,30,1,food_drink
health_food_store,PURCHASE,health food store,citybehavex/category/unique_categories.csv,326,326,1,food_drink
himalayan_nepalese_restaurant,LEISURE,himalayan nepalese restaurant,citybehavex/category/unique_categories.csv,37,37,1,food_drink
hong_kong_style_cafe,LEISURE,hong kong style cafe,citybehavex/category/unique_categories.csv,1,1,1,food_drink
hookah_bar,LEISURE,hookah bar,citybehavex/category/unique_categories.csv,134,134,1,food_drink
hot_dog_restaurant,LEISURE,hot dog restaurant,citybehavex/category/unique_categories.csv,13,13,1,food_drink
hotel_bar,LEISURE,hotel bar,citybehavex/category/unique_categories.csv,50,50,1,food_drink
hungarian_restaurant,LEISURE,hungarian restaurant,citybehavex/category/unique_categories.csv,1,1,1,food_drink
iberian_restaurant,LEISURE,iberian restaurant,citybehavex/category/unique_categories.csv,1,1,1,food_drink
ice_cream_shop,LEISURE,ice cream shop,citybehavex/category/unique_categories.csv,145,145,1,food_drink
imported_food,OTHER,imported food,citybehavex/category/unique_categories.csv,1,1,1,food_drink
indian_restaurant,LEISURE,indian restaurant,citybehavex/category/unique_categories.csv,748,748,1,food_drink
indo_chinese_restaurant,LEISURE,indo chinese restaurant,citybehavex/category/unique_categories.csv,2,2,1,food_drink
indonesian_restaurant,LEISURE,indonesian restaurant,citybehavex/category/unique_categories.csv,15,15,1,food_drink
internet_cafe,LEISURE,internet cafe,citybehavex/category/unique_categories.csv,31,31,1,food_drink
irish_pub,LEISURE,irish pub,citybehavex/category/unique_categories.csv,42,42,0,food_drink
israeli_restaurant,LEISURE,israeli restaurant,citybehavex/category/unique_categories.csv,12,12,1,food_drink
italian_restaurant,LEISURE,italian restaurant,citybehavex/category/unique_categories.csv,2366,2366,1,food_drink
jamaican_restaurant,LEISURE,jamaican restaurant,citybehavex/category/unique_categories.csv,2,2,1,food_drink
japanese_restaurant,LEISURE,japanese restaurant,citybehavex/category/unique_categories.csv,1241,1241,1,food_drink
jewish_restaurant,LEISURE,jewish restaurant,citybehavex/category/unique_categories.csv,2,2,1,food_drink
korean_restaurant,LEISURE,korean restaurant,citybehavex/category/unique_categories.csv,244,244,1,food_drink
kosher_restaurant,LEISURE,kosher restaurant,citybehavex/category/unique_categories.csv,57,57,1,food_drink
kurdish_restaurant,LEISURE,kurdish restaurant,citybehavex/category/unique_categories.csv,10,10,1,food_drink
latin_american_restaurant,LEISURE,latin american restaurant,citybehavex/category/unique_categories.csv,58,58,1,food_drink
lebanese_restaurant,LEISURE,lebanese restaurant,citybehavex/category/unique_categories.csv,384,384,1,food_drink
live_and_raw_food_restaurant,LEISURE,live and raw food restaurant,citybehavex/category/unique_categories.csv,4,4,1,food_drink
malaysian_restaurant,LEISURE,malaysian restaurant,citybehavex/category/unique_categories.csv,3,3,1,food_drink
mediterranean_restaurant,LEISURE,mediterranean restaurant,citybehavex/category/unique_categories.csv,202,202,1,food_drink
mexican_restaurant,LEISURE,mexican restaurant,citybehavex/category/unique_categories.csv,130,130,1,food_drink
middle_eastern_restaurant,LEISURE,middle eastern restaurant,citybehavex/category/unique_categories.csv,105,105,1,food_drink
molecular_gastronomy_restaurant,LEISURE,molecular gastronomy restaurant,citybehavex/category/unique_categories.csv,3,3,1,food_drink
moroccan_restaurant,LEISURE,moroccan restaurant,citybehavex/category/unique_categories.csv,380,380,1,food_drink
nigerian_restaurant,LEISURE,nigerian restaurant,citybehavex/category/unique_categories.csv,1,1,1,food_drink
noodles_restaurant,LEISURE,noodles restaurant,citybehavex/category/unique_categories.csv,29,29,1,food_drink
notary_public,OTHER,notary public,citybehavex/category/unique_categories.csv,405,405,1,food_drink
pakistani_restaurant,LEISURE,pakistani restaurant,citybehavex/category/unique_categories.csv,15,15,1,food_drink
panamanian_restaurant,LEISURE,panamanian restaurant,citybehavex/category/unique_categories.csv,1,1,1,food_drink
persian_iranian_restaurant,LEISURE,persian iranian restaurant,citybehavex/category/unique_categories.csv,24,24,1,food_drink
peruvian_restaurant,LEISURE,peruvian restaurant,citybehavex/category/unique_categories.csv,43,43,1,food_drink
piano_bar,LEISURE,piano bar,citybehavex/category/unique_categories.csv,7,7,1,food_drink
pizza_restaurant,LEISURE,pizza restaurant,citybehavex/category/unique_categories.csv,2701,2701,1,food_drink
polish_restaurant,LEISURE,polish restaurant,citybehavex/category/unique_categories.csv,9,9,1,food_drink
polynesian_restaurant,LEISURE,polynesian restaurant,citybehavex/category/unique_categories.csv,2,2,1,food_drink
portuguese_restaurant,LEISURE,portuguese restaurant,citybehavex/category/unique_categories.csv,248,248,1,food_drink
professional_sports_team,LEISURE,professional sports team,citybehavex/category/unique_categories.csv,19,19,1,food_drink
pub,LEISURE,pub,citybehavex/category/unique_categories.csv,484,484,0,food_drink
public_and_government_association,LEISURE,public and government association,citybehavex/category/unique_categories.csv,905,905,1,food_drink
public_bath_houses,LEISURE,public bath houses,citybehavex/category/unique_categories.csv,1,1,1,food_drink
public_health_clinic,HEALTH,public health clinic,citybehavex/category/unique_categories.csv,9,9,1,food_drink
public_market,PURCHASE,public market,citybehavex/category/unique_categories.csv,17,17,1,food_drink
public_plaza,LEISURE,public plaza,citybehavex/category/unique_categories.csv,820,820,1,food_drink
public_relations,LEISURE,public relations,citybehavex/category/unique_categories.csv,289,289,1,food_drink
public_school,STUDIES,public school,citybehavex/category/unique_categories.csv,32,32,1,food_drink
public_service_and_government,OTHER,public service and government,citybehavex/category/unique_categories.csv,976,976,1,food_drink
public_toilet,OTHER,public toilet,citybehavex/category/unique_categories.csv,10,10,1,food_drink
public_utility_company,LEISURE,public utility company,citybehavex/category/unique_categories.csv,207,207,1,food_drink
restaurant,LEISURE,restaurant,citybehavex/category/unique_categories.csv,6790,6790,1,food_drink
restaurant_equipment_and_supply,PURCHASE,restaurant equipment and supply,citybehavex/category/unique_categories.csv,46,46,1,food_drink
restaurant_wholesale,LEISURE,restaurant wholesale,citybehavex/category/unique_categories.csv,14,14,1,food_drink
romanian_restaurant,LEISURE,romanian restaurant,citybehavex/category/unique_categories.csv,7,7,1,food_drink
russian_restaurant,LEISURE,russian restaurant,citybehavex/category/unique_categories.csv,15,15,1,food_drink
sake_bar,LEISURE,sake bar,citybehavex/category/unique_categories.csv,1,1,1,food_drink
salad_bar,LEISURE,salad bar,citybehavex/category/unique_categories.csv,242,242,1,food_drink
salvadoran_restaurant,LEISURE,salvadoran restaurant,citybehavex/category/unique_categories.csv,1,1,1,food_drink
scandinavian_restaurant,LEISURE,scandinavian restaurant,citybehavex/category/unique_categories.csv,18,18,1,food_drink
school_sports_team,STUDIES,school sports team,citybehavex/category/unique_categories.csv,1,1,1,food_drink
seafood_market,PURCHASE,seafood market,citybehavex/category/unique_categories.csv,22,22,1,food_drink
seafood_restaurant,LEISURE,seafood restaurant,citybehavex/category/unique_categories.csv,223,223,1,food_drink
seafood_wholesaler,PURCHASE,seafood wholesaler,citybehavex/category/unique_categories.csv,6,6,1,food_drink
senegalese_restaurant,LEISURE,senegalese restaurant,citybehavex/category/unique_categories.csv,20,20,1,food_drink
